CLASSEMENT DE LA COURSE : Tortue 2000 DU 2018-05-24


Classement : CATEGORIE 1
RANG;VOILIER;NOM;PRENOM;TEMPS REEL;TEMPS COMPENSE;
1;La Mouche;Vox;Bruno;02:55:08;07:34:52;
2;Rubiks;Durant;Camille;02:51:59;07:46:12;
3;Neolis;Wiess;Lucie;02:52:11;07:51:45;
4;Le Chancellor;Direux;Marc;02:56:41;07:59:02;
5;Le Nautilus;Walter;Pierre;02:50:02;08:01:14;


Classement : CATEGORIE 2
RANG;VOILIER;NOM;PRENOM;TEMPS REEL;TEMPS COMPENSE;
1;Titanic;Smith;Edward;02:53:25;08:45:17;
2;Le Renard;Loch;Sophie;02:53:42;08:50:07;
3;Le Hollandais volant;Fokke;Bernard;00:00:00;00:00:00;


Classement : CATEGORIE 3
RANG;VOILIER;NOM;PRENOM;TEMPS REEL;TEMPS COMPENSE;
1;Stylos;Michel;Andrea;02:56:30;09:50:45;
2;Jial;Kolb;Hugo;00:00:00;00:00:00;


Classement : CATEGORIE 4
RANG;VOILIER;NOM;PRENOM;TEMPS REEL;TEMPS COMPENSE;
1;Overwash;Walter;Robin;02:56:22;11:30:32;

